Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
23.745,1,0.0191,0.0099,0.0215,118.2692,None,0.000,0.000
23.772,1,0.0161,0.0107,0.0193,212.1438,None,0.000,0.000
23.801,1,0.0122,0.0118,0.0170,82.7734,None,0.000,0.000
23.829,1,0.0080,0.0127,0.0150,80.0620,None,0.000,0.000
23.856,1,0.0024,0.0143,0.0145,285.9022,None,0.000,0.000
23.884,1,-0.0046,0.0159,0.0165,190.9020,None,0.000,0.000
23.912,1,-0.0126,0.0175,0.0216,163.4865,None,0.000,0.000
23.939,1,-0.0204,0.0193,0.0281,232.1887,Movement Initiated,0.487,0.000
23.968,1,-0.0290,0.0212,0.0359,155.1531,None,0.000,0.000
23.996,1,-0.0362,0.0234,0.0431,312.8416,None,0.000,0.000
24.023,1,-0.0425,0.0260,0.0499,155.1814,None,0.000,0.000
24.051,1,-0.0488,0.0278,0.0561,244.6227,None,0.000,0.000
24.079,1,-0.0532,0.0291,0.0606,324.8100,None,0.000,0.000
24.107,1,-0.0566,0.0305,0.0643,482.8403,None,0.000,0.000
24.135,1,-0.0592,0.0328,0.0677,116.2688,None,0.000,0.000
24.163,1,-0.0594,0.0351,0.0690,571.0218,None,0.000,0.000
24.190,1,-0.0591,0.0363,0.0694,603.6403,None,0.000,0.000
24.218,1,-0.0584,0.0380,0.0697,221.4163,Hit,0.000,0.279
24.246,1,-0.0586,0.0404,0.0712,172.1905,None,0.000,0.000
24.274,1,-0.0590,0.0427,0.0729,147.9744,None,0.000,0.000
24.302,1,-0.0594,0.0440,0.0739,352.1992,None,0.000,0.000
24.330,1,-0.0618,0.0447,0.0763,449.0830,None,0.000,0.000
24.358,1,-0.0637,0.0459,0.0785,434.9600,None,0.000,0.000
24.385,1,-0.0648,0.0457,0.0793,307.0549,None,0.000,0.000
24.413,1,-0.0656,0.0443,0.0792,261.3796,None,0.000,0.000
